Message,Sentiment Score
"425  Boom Boom+++**
",0.0
"**Banknifty 53800 Ce 
",0.0
"
",0.0
"420  Boom Boom+++**
",0.0
"**Banknifty 53800 Ce 
",0.0
"
",0.0
"415  Boom Boom+++**
",0.0
"**Banknifty 53800 Ce 
",0.0
"
",0.0
"410  Boom Boom+++**
",0.0
"**Banknifty 53800 Ce 
",0.0
"
",0.0
"405  Boom Boom+++**
",0.0
"**Banknifty 53800 Ce 
",0.0
"
",0.0
"400  Boom Boom+++**
",0.0
"**Banknifty 53800 Ce 
",0.0
"
",0.0
"395   Boom Boom+++**
",0.0
"**Banknifty 53800 Ce 
",0.0
"
",0.0
"390   Boom Boom+++**
",0.0
"**Banknifty 53800 Ce 
",0.0
"
",0.0
"385   Boom Boom+++**
",0.0
"♥️ **JACKPOT CALL ♥️
",0.0
"
",0.0
"BANK NIFTY 53800 Ce
",0.5319
"
",0.0
"BUY NEAR @ 380-390
",0.0
"
",0.0
"TRGT-- 50 - 80 - 100 - 150 - 200 ++ POITNS 
",0.0
"
",0.0
"SL ---- ❌
",0.0
"
",0.0
"PAPER TRADE  🙏🙏👍👍🥰🥰**
",0.0
"**JAI SHREE KRISHNA GOOD MORNING ALL MY  MEMBERS..❤️
",0.4404
"
",0.0
"
",0.0
"WE ARE AVAILABLE FOR YOUR SOLUTION AND HELP TO 
",0.6124
"
",0.0
"FOLLOW ME OUR ALL UPDATE ALWAYS 
",0.0
"
",0.0
"BE READY TODAY FOLLOW ME ♥️👍**
",0.4995
"𝗗𝗼𝘀𝘁𝗼❤️
",0.0
"**हमारी जितनी MONTHLY FEES है उससे ज्यादा लॉस तो कई लोग 1 दिन में कर देते है.😍
",0.0
"अगर आप शेयर मार्केट मे डेली लॉस कर रहे हो । और आप जहां से भी एंट्री लेते हो लॉस में चले जाते हो तो , एक बार हमारा चैनल ज्वाइन करके ...हमारी कॉल की एक्यूरेसी देखे । आप निराश नहीं होंगे , ये हमारा वादा रहा।।
",0.0
"
",0.0
"JOIN PREMIUM SERVICE💰💰💰💰
",0.296
"
",0.0
"DON'T MISS  JACKPOT CALL IN PREMIUM GROUP💪
",0.1139
"
",0.0
"ANY INTERESTED JOIN FAST👇👇👇
",0.5994
"
",0.0
"****https://wa.me/+919509944388****
",0.0
"****https://wa.me/+919509944388**
",0.0
"**Paid Membership Service **❤️❤️
",0.0
"**Banknifty 53600 Ce 
",0.0
"
",0.0
"470   Boom Boom+++**
",0.0
"**Banknifty 53600 Ce 
",0.0
"
",0.0
"460   Boom Boom+++**
",0.0
"**Banknifty 53600 Ce 
",0.0
"
",0.0
"450   Boom Boom+++**
",0.0
"**Banknifty 53600 Ce 
",0.0
"
",0.0
"440   Boom Boom+++**
",0.0
"**Banknifty 53600 Ce 
",0.0
"
",0.0
"430   Boom Boom+++**
",0.0
"**Banknifty 53600 Ce 
",0.0
"
",0.0
"420   Boom Boom+++**
",0.0
"**Banknifty 53600 Ce 
",0.0
"
",0.0
"410   Boom Boom+++**
",0.0
"**Banknifty 53600 Ce 
",0.0
"
",0.0
"405   Boom Boom+++**
",0.0
"**Banknifty 53600 Ce 
",0.0
"
",0.0
"400   Boom Boom+++**
",0.0
"2**st Target done**
",0.0
"**Banknifty 53600 Ce 
",0.0
"
",0.0
"395  Boom Boom+++**
",0.0
"**Banknifty 53600 Ce 
",0.0
"
",0.0
"390  Boom Boom+++**
",0.0
"**Banknifty 53600 Ce 
",0.0
"
",0.0
"385  Boom Boom+++**
",0.0
"**Banknifty 53600 Ce 
",0.0
"
",0.0
"380  Boom Boom+++**
",0.0
"**Banknifty 53600 Ce 
",0.0
"
",0.0
"375  Boom Boom+++**
",0.0
"**Banknifty 53600 Ce 
",0.0
"
",0.0
"370  Boom Boom+++**
",0.0
"**Banknifty 53600 Ce 
",0.0
"
",0.0
"365  Boom Boom+++**
",0.0
"**Banknifty 53600 Ce 
",0.0
"
",0.0
"360  Boom Boom+++**
",0.0
"♥️** JACKPOT CALL ♥️
",0.0
"
",0.0
"BANK NIFTY 53600 Ce
",0.5319
"
",0.0
"BUY NEAR @ 345-350
",0.0
"
",0.0
"TRGT-- 50 - 80 - 100 - 150 - 200 ++ POITNS 
",0.0
"
",0.0
"SL ---- ❌
",0.0
"
",0.0
"PAPER TRADE  🙏🙏👍👍🥰🥰**
",0.0
"**JAI SHREE KRISHNA GOOD MORNING ALL MY  MEMBERS..❤️
",0.4404
"
",0.0
"
",0.0
"WE ARE AVAILABLE FOR YOUR SOLUTION AND HELP TO 
",0.6124
"
",0.0
"FOLLOW ME OUR ALL UPDATE ALWAYS 
",0.0
"
",0.0
"BE READY TODAY FOLLOW ME ♥️👍**
",0.4995
"**Paid Membership service ❤️❤️
",0.0
"
",0.0
"Full Jackpot Blast **🎉🎉🎉👍✔️
",0.0
